mu_wall,mu_b,v (cm/s),E (nev),P_Wall,P_3,P_b,P_holeg,P_holev,P_n,Sum_Load,Sum_Store,,,,,
6.0286E-07,9.06E-18,25,0.32669506,1.00477E-06,0.000000001,1.51069E-17,0.001875,0,0.001138952,0.003014958,0.001139958,,,,,
1.20795E-06,3.88E-17,50,1.306780241,4.02649E-06,0.000000001,1.29333E-16,0.00375,0,0.001138952,0.00489298,0.00114298,,,,,
1.81753E-06,9.80E-17,75,2.940255542,9.08767E-06,0.000000001,4.9E-16,0.005625,0,0.001138952,0.006773041,0.001148041,,v_M (cm/s) for 160 neV,f,V(nev),3He Partial Time
2.434E-06,2.05E-16,100,5.227120964,1.62267E-05,0.000000001,1.36667E-15,0.0075,0,0.001138952,0.00865518,0.00115518,,554.1,0.00001,160,1000000000
3.05989E-06,3.99E-16,125,8.167376506,2.54991E-05,0.000000001,3.325E-15,0.009375,0,0.001138952,0.010539452,0.001164452,,tau_n (s),,,
3.69795E-06,7.55E-16,150,11.76102217,3.69795E-05,0.000000001,7.55E-15,0.01125,0,0.001138952,0.012425933,0.001175933,,878.0,,,
4.35128E-06,1.44E-15,175,16.00805795,5.07649E-05,0.000000001,1.68E-14,0.013125,0,0.001138952,0.014314718,0.001189718,,N_0v,,,
5.02334E-06,2.81E-15,200,20.90848385,6.69779E-05,0.000000001,3.74667E-14,0.015,0,0.001138952,0.016205931,0.001205931,,100000.0,Vol-fill (cm^3),40000,
5.71819E-06,5.73E-15,225,26.46229988,8.57729E-05,0.000000001,8.595E-14,0.016875,0,0.001138952,0.018099726,0.001224726,,Lambda (cm),a_hole-guide (cm^2),12,
6.4406E-06,1.24E-14,250,32.66950602,0.000107343,0.000000001,2.06667E-13,0.01875,0,0.001138952,0.019996296,0.001246296,,15.0,Vol-store (cm^3),20000,
7.19631E-06,2.85E-14,275,39.53010229,0.000131932,0.000000001,5.225E-13,0.020625,0,0.001138952,0.021895885,0.001270885,,f,a_hole-valve (cm^2),0,
7.99242E-06,7.14E-14,300,47.04408867,0.000159848,0.000000001,1.428E-12,0.0225,0,0.001138952,0.023798802,0.001298802,,8.00E-05,,,
8.8379E-06,1.96E-13,325,55.21146518,0.000191488,0.000000001,4.24667E-12,0.024375,0,0.001138952,0.025705441,0.001330441,,t_step (s),,,
9.74438E-06,5.98E-13,350,64.0322318,0.000227369,0.000000001,1.39533E-11,0.02625,0,0.001138952,0.027616322,0.001366322,,20.0,,,
1.07275E-05,2.07E-12,375,73.50638855,0.000268187,0.000000001,5.175E-11,0.028125,0,0.001138952,0.02953214,0.00140714,,v_step (cm/s),,,
1.1809E-05,8.22E-12,400,83.63393542,0.000314905,0.000000001,2.192E-10,0.03,0,0.001138952,0.031453859,0.001453859,,25.0,,,
1.30206E-05,3.87E-11,425,94.41487241,0.000368918,0.000000001,0,0.031875,0,0.001138952,0.033382871,0.001507871,,,,,
1.44123E-05,2.24E-10,450,105.8491995,0.000432369,0.000000001,6.72E-09,0.03375,0,0.001138952,0.034182376,0.001571329,,,,,
1.6069E-05,1.68E-09,475,117.9369167,0.000508851,0.000000001,5.32E-08,0.035625,0,0.001138952,0.037272857,0.001647857,,,,,
1.81585E-05,1.79E-08,500,130.6780241,0.000605282,0.000000001,5.96667E-07,0.0375,0,0.001138952,0.039244832,0.001744832,,,,,
2.11095E-05,3.24E-07,525,144.0725216,0.000738834,0.000000001,0.00001134,0.039375,0,0.001138952,0.041264127,0.001889127,,,,,
2.7411E-05,1.58E-05,550,158.1204091,0.001005071,0.000000001,0.000579333,0.04125,0,0.001138952,0.043973357,0.002723357,,,,,